author,n_artigos_pub,affiliation,city,country
Yang Z.,2,Weifang University,Weifang,China
Yu W.,2,Nanjing Forestry University,Nanjing,China
Li B.S.,2,Guilin University of Technology,Guilin,China
Xiao Y.,2,"Hunan University of Humanities, Science and Technology",Loudi,China
Sharifi A.,2,Hiroshima University,Higashihiroshima,Japan
Zhou J.,2,Jiangxi Normal University,Nanchang,China
Chen Y.,2,Zhejiang Guangsha College of Applied Construction Technology,Jinhua,China
Valença G.,2,CERIS – Civil Engineering Research and Innovation for Sustainability,Lisbon,Portugal
Zhou L.,2,Nanjing University of Post and TeleCommunications,Nanjing,China
Magnussen R.,2,Aalborg University,Aalborg,Denmark
Liu C.,2,Northwest Normal University China,Lanzhou,China
Hong A.,2,University of Oxford,Oxford,United Kingdom
Ding L.,2,Zhejiang University of Technology,Hangzhou,China
Wei L.,2,"Institutionen för Naturgeografi och Ekosystemvetenskap, Lunds Universitet",Lund,Sweden
Wu H.,2,Nanjing Forestry University,Nanjing,China
Du F.,1,University of Electronic Science and Technology of China,Chengdu,China
Wang G.,1,Xinjiang Normal University,Urumqi,China
Su Z.,1,Tsinghua University,Beijing,China
Zhang G.,1,College of Civil Engineering and Architecture Zhejiang University,Hangzhou,China
Feng X.,1,"School of Public Affairs, Zhejiang University",Hangzhou,China
Shtaierman S.,1,Technische Universität München,Munich,Germany
Yue H.,1,Sichuan Normal University,Chengdu,China
Jafary P.,1,University of Melbourne,Melbourne,Australia
Peng C.,1,Huazhong Agricultural University,Wuhan,China
Wu M.,1,Southwest University of Science and Technology,Mianyang,China
Kumar D.,1,State University of New York Albany,Albany,United States
Yuan L.,1,The University of Tokyo,Tokyo,Japan
Girotti C.,1,Instituto de Geografia e Ordenamento do Território da Universidade de Lisboa,Lisbon,Portugal
Rong P.,1,Henan University of Economics and Law,Zhengzhou,China
Dyer G.M.C.,1,Instituto de Salud Global de Barcelona,Barcelona,Spain
Joshi S.,1,"MaREI, the SFI Research Centre for Energy, Climate and Marine",Cork,Ireland
Fan C.,1,College of Engineering,College Station,United States
Lnenicka M.,1,Univerzita Hradec Králové,Hradec Kralove,Czech Republic
Mou L.,1,Chongqing University,Chongqing,China
Wattanaprapa N.,1,Suan Sunandha Rajabhat University,Bangkok,Thailand
Yao L.,1,South China University of Technology,Guangzhou,China
Sun J.Y.,1,Sinopec,Beijing,China
Zheng W.,1,The University of Manchester,Manchester,United Kingdom
Seyedkazemi S.,1,Sabancı Üniversitesi,Tuzla,Turkey
Du P.,1,China Communications Construction Company Limited,Beijing,China
Zhou C.,1,Southeast University,Nanjing,China
Wei H.,1,Tsinghua University,Beijing,China
Kasprzyk J.P.,1,Université de Liège,Liege,Belgium
Yang F.F.,1,Sun Yat-Sen University,Guangzhou,China
Hubbard P.,1,King's College London,London,United Kingdom
Chen W.,1,Guangzhou Collaborative Innovation Center of Natural Resources Planning and Marine Technology,Guangzhou,China
Yi S.,1,Huaqiao University,Quanzhou,China
Su L.,1,University of Electronic Science and Technology of China,Chengdu,China
Mortaheb R.,1,"University of California, Santa Barbara",Santa Barbara,United States
Yuan S.,1,Southeast University,Nanjing,China
He L.,1,Xi'an Jiaotong University,Xi'an,China
Iungman T.,1,Instituto de Salud Global de Barcelona,Barcelona,Spain
Yi C.,1,Hanbat National University,Daejeon,South Korea
Gavanas N.,1,University of Thessaly,Volos,Greece
Jiang T.,1,Nanjing University of Post and TeleCommunications,Nanjing,China
Cong Y.,1,Shibaura Institute of Technology,Tokyo,Japan
Yu C.,1,Zhejiang Lab,Hangzhou,China
Zhang H.,1,Shandong Jianzhu University,Jinan,China
Liang K.,1,Anhui University,Hefei,China
Ping Y.,1,Shanghai Ocean University,Shanghai,China
Fu X.,1,The University of Waikato,Hamilton,New Zealand
Shuang M.,1,College of Civil Engineering and Architecture Zhejiang University,Hangzhou,China
Ausejo Sánchez J.L.,1,Universidad Nacional José Faustino Sánchez Carrión,Huacho,Peru
Li H.,1,Shandong University of Finance and Economics,Jinan,China
Franklin R.,1,The Alan Turing Institute,London,United Kingdom
Kolesnikova D.A.,1,Herzen State Pedagogical University of Russia,Saint Petersburg,Russian Federation
Gürsoy S.,1,Beykoz University,Istanbul,Turkey
Yang L.,1,Guilin University of Technology,Guilin,China
Gowda S.,1,"Central Road Research Institute, New Delhi",New Delhi,India
Ge R.,1,Hefei University of Technology,Hefei,China
Wang T.,1,Ningbo University,Ningbo,China
Wei X.,1,Shandong University of Finance and Economics,Jinan,China
Sigalov-Klein M.,1,Bar-Ilan University,Ramat Gan,Israel
Hu H.,1,Chinese University of Hong Kong,Hong Kong,Hong Kong
Halder S.,1,Faculty,Malda,India
Hashem I.A.T.,1,University of Sharjah,Sharjah,United Arab Emirates
Tepe E.,1,University of Florida,Gainesville,United States
Hardyns W.,1,Universiteit Gent,Ghent,Belgium
Froy F.,1,University of Oxford,Oxford,United Kingdom
Caldera C.,1,Politecnico di Torino,Turin,Italy
Su P.H.,1,Xi'an International University,Xi'an,China
Bertini F.,1,Università di Parma,Parma,Italy
Lee N.,1,University of Wisconsin-Milwaukee,Milwaukee,United States
De Falco C.C.,1,Università degli Studi di Napoli Federico II,Naples,Italy
Wibowo A.,1,Hasanuddin University,Makassar,Indonesia
Qu S.,1,Ministry of Natural Resources of the People's Republic of China,Beijing,China
Zied Abozied E.,1,Newcastle University,Newcastle,United Kingdom
Xu Z.,1,Nanjing Forestry University,Nanjing,China
Matei A.,1,Școala Naţională de Studii Politice și Administrative,Bucharest,Romania
Liu L.,1,Shandong University of Science and Technology,Qingdao,China
Ali M.,1,National University of Sciences and Technology,Islamabad,Pakistan
Zhou W.,1,Nanjing University of Information Science &amp; Technology,Nanjing,China
Luo M.,1,Sun Yat-Sen University,Guangzhou,China
Tiwari R.,1,Curtin University,Perth,Australia
Costa D.G.,1,Universidade do Porto,Porto,Portugal
Beconytė G.,1,Vilniaus Universitetas,Vilnius,Lithuania
Tsai W.H.,1,Academia Sinica Taiwan,Nankang,Taiwan
Song J.,1,Harbin Institute of Technology,Harbin,China
Cigna F.,1,Consiglio Nazionale delle Ricerche,Rome,Italy
Fan W.,1,Shandong Jianzhu University,Jinan,China
St-Hilaire C.,1,University of Waterloo,Waterloo,Canada
Sheng A.,1,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Kim S.,1,Manager,"Seosomun-ro, Jung-gu",South Korea
Guan X.,1,Wuhan University,Wuhan,China
Neto-Bradley A.P.,1,Department of Engineering,Cambridge,United Kingdom
Liao J.,1,Hanyang University ERICA Campus,Ansan,South Korea
Payne W.B.,1,Rutgers University,Scotch Plains,United States
Vats S.,1,Graphic Era Hill University,Dehradun,India
Shafik W.,1,Universiti Brunei Darussalam,Bandar Seri Begawan,Brunei Darussalam
Hermanus D.R.,1,Bina Nusantara University,Jakarta,Indonesia
Zheng C.,1,Fudan University,Shanghai,China
Mengistie B.M.,1,Kotebe University of Education,Addis Ababa,Ethiopia
Ghosh J.,1,"The West Bengal National University of Juridical Sciences, Kolkata",Kolkata,India
Santiago-Iglesias E.,1,Universidad Complutense de Madrid,Madrid,Spain
Caratù M.,1,Universita degli Studi Internazionali di Roma,Rome,Italy
Haynes I.P.,1,Faculty of Humanities and Social Sciences,Newcastle,United Kingdom
Wen X.,1,Chongqing University,Chongqing,China
Peng B.,1,Shanghai Jiao Tong University,Shanghai,China
Wei B.,1,"Institute of Geology, China Earthquake Administration",Beijing,China
Tian S.,1,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Cui X.,1,Guangzhou University,Guangzhou,China
Lyu H.M.,1,The Hong Kong Polytechnic University,Hong Kong,Hong Kong
Zhang M.,1,Peking University,Beijing,China
Son T.H.,1,Queensland University of Technology,Brisbane,Australia
Xu S.X.,1,Tianjin University,Tianjin,China
Xiao L.,1,Xiamen University,Xiamen,China
Wang D.,1,Henan Agricultural University,Zhengzhou,China
Zhang B.,1,Nanjing Forestry University,Nanjing,China
Simons G.,1,The Bartlett Faculty of the Built Environment,London,United Kingdom
He X.,1,Chinese University of Hong Kong,Hong Kong,Hong Kong
Rosário A.T.,1,Universidade Europeia,Lisbon,Portugal
Huang D.,1,Beijing Normal University,Beijing,China
Obringer R.,1,National Socio-Environmental Synthesis Center (SESYNC),College Park,United States
Barresi A.,1,Università degli Studi di Reggio Calabria,Reggio Calabria,Italy
Zhang C.,1,University of Chinese Academy of Sciences,Beijing,China
Bessala S.B.E.,1,University of Douala,Douala,Cameroon
Yue J.,1,Beijing Normal University,Beijing,China
Friedman A.,1,Université McGill,Montreal,Canada
Shehayeb D.,1,Nile University,6th October,Egypt
Ardakani S.P.,1,University of Lincoln,Lincoln,United Kingdom
Mohanty A.,1,Central University of South Bihar,Gaya,India
Moraga P.,1,King Abdullah University of Science and Technology,Thuwal,Saudi Arabia
Khalid S.,1,Government College University Faisalabad,Faisalabad,Pakistan
Pena T.J.B.,1,Universidade de São Paulo,Sao Paulo,Brazil
Redondo E.,1,Universitat Politècnica de Catalunya,Barcelona,Spain
Hu J.T.,1,Key Laboratory of Road and Traffic Engineering of the State Ministry of Education,Shanghai,China
Rajalakshmi N.R.,1,Vel Tech Rangarajan Dr.Sagunthala R&amp;D Institute of Science and Technology,Chennai,India
Niu T.,1,Sichuan University,Chengdu,China
Padmapriya V.,1,B.M.S. College of Engineering,Bengaluru,India
Huang C.H.,1,National Taipei University of Technology,Taipei,Taiwan
Wang F.,1,Pinkie Gordon Lane Graduate School and Cyril and Tutta Vetter Alumni,Gordon,United States
Al-Shammary A.A.,1,Higher Institute of Biotechnology of Sfax (ISBS),Sfax,Tunisia
Labetski A.,1,Delft University of Technology,Delft,Netherlands
Sanchez T.W.,1,Virginia Polytechnic Institute and State University,Blacksburg,United States
Magoutas A.,1,National and Kapodistrian University of Athens,Athens,Greece
Xiong M.,1,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Yu Y.,1,Wuhan University of Technology,Wuhan,China
Lee S.h.,1,Korea Maritime Institute,Busan,South Korea
Xuan W.,1,Hefei University of Technology,Hefei,China
Alam T.,1,Islamic University of Madinah,Medina,Saudi Arabia
Cao Z.,1,Southern Marine Science and Engineering Guangdong Laboratory,Guangzhou,China
Yi B.,1,Beijing Key Laboratory of Spatial Information Integration and 3S Engineering Application,Beijing,China
Kim J.,1,Chung-Ang University,Seoul,South Korea
Chen S.,1,University of Electronic Science and Technology of China,Chengdu,China
Xu D.,1,Beijing Jiaotong University,Beijing,China
Arribas-Bel D.,1,The Alan Turing Institute,London,United Kingdom
Wagner F.,1,Mercator Research Institute on Global Commons and Climate Change,Berlin,Germany
HE Z.,1,Wuchang University of Technology,Wuhan,China
Casali Y.,1,"Faculteit Techniek, Bestuur en Management, TU Delft",Delft,Netherlands
Javed A.R.,1,Air University Islamabad,Islamabad,Pakistan
Kon F.,1,Massachusetts Institute of Technology,Cambridge,United States
Leite C.C.,1,Universidade de São Paulo,Sao Paulo,Brazil
Yoon Y.,1,Hanyang University,Seoul,South Korea
LU Y.,1,"College of Computer Science and Technology, Zhejiang University",Hangzhou,China
Wang X.,1,Renmin University of China,Beijing,China
Alswedani S.,1,King Abdulaziz University,Jeddah,Saudi Arabia
García A.V.,1,Universidade de Vigo,Vigo,Spain
Xia J.,1,College of Civil Engineering and Architecture Zhejiang University,Hangzhou,China
Lai G.,1,Guangzhou University,Guangzhou,China
Chen L.,1,City University of Hong Kong,Hong Kong,Hong Kong
Zheng Z.,1,Henan University,Kaifeng,China
Biljecki F.,1,National University of Singapore,Singapore City,Singapore
Madsen A.K.,1,Aalborg University,Aalborg,Denmark
Lou X.,1,Southeast University,Nanjing,China
Zheng M.,1,Renmin University of China,Beijing,China
Sagi A.,1,Technion - Israel Institute of Technology,Haifa,Israel
Chien H.,1,"United Nations University, Japan",Tokyo,Japan
Kuang W.,1,"Institute of Geographic Sciences and Natural Resources Research, Chinese Academy of Sciences",Beijing,China
Jiang X.,1,Aerospace Information Research Institute,Beijing,China
Wang M.,1,"Key Laboratory of Geographic Information Science, Ministry of Education",Shanghai,China
Duan Q.,1,Panyu Polytechnic,Guangzhou,China
Zhu P.,1,Hunan Key Laboratory of Land Resources Evaluation and Utilization,Changsha,China
Jin Y.,1,The University of Tokyo,Tokyo,Japan
Heinrich A.J.,1,Technische Universität Berlin,Berlin,Germany
Meng X.,1,Tsinghua University,Beijing,China
